id, isin, issuerName, maturityDate, startDate, bondDuration, couponRate, couponPeriod, high, low, last, change, yield, pieceSize, fitch, moody's, snp
162, CXFL339, Abatz, 18-04-2028, 18-04-2015, 13, 0.717, Quaterly, 429.11, 402.934, 420.996, 43.906, 0.718, 99.861, BBB, Baa3, BBB
163, MONL4131, Jazzy, 10-02-2028, 10-02-2015, 13, 2.048, Semi-Annual, 84.789, 78.014, 78.895, 0.968, 2.052, 99.805, B+, Aa2, BB
164, BNHO5475, Reallinks, 05-08-2032, 05-08-2015, 17, 0.486, Quaterly, 246.261, 245.842, 246.186, -4.146, 0.486, 100, B+, Aa2, BB
165, EFH540841, Quatz, 18-02-2019, 18-02-2015, 4, 0.219, Semi-Annual, 308.327, 285.11, 306.005, -33.667, 0.219, 100, BB, B3, BB
166, WJL82131, Topdrive, 23-04-2027, 23-04-2015, 12, 4.773, Quaterly, 255.653, 235.15, 248.067, -52.179, 4.796, 99.52, BBB, Baa3, BBB
167, MBYDC907, Aibox, 17-10-2040, 17-10-2015, 25, 3.569, Semi-Annual, 354.765, 328.051, 352.361, 0.0, 3.582, 99.637, BBB, Baa3, BBB
168, VIFWJ027052, Blogtags, 15-01-2031, 15-01-2015, 16, 4.217, Semi-Annual, 465.988, 435.699, 439.939, 25.268, 4.235, 99.575, BB, B3, BB
169, YIXZL21566, Jayo, 25-02-2021, 25-02-2015, 6, 3.172, Quaterly, 395.287, 377.855, 385.351, -9.463, 3.182, 99.686, B+, Ba3, BB+
170, ZEY171330, Meevee, 09-06-2047, 09-06-2015, 32, 0.687, Quaterly, 499.863, 465.322, 470.504, 10.623, 0.687, 100, B+, Ca, CCC-
171, PTCM2848, Photospace, 13-09-2018, 13-09-2015, 3, 0.3, Annual, 499.753, 451.177, 490.524, -21.239, 0.3, 100, B+, Baa1, B+
172, OXUCL96996, Zoomdog, 21-07-2033, 21-07-2015, 18, 0.138, Annual, 162.32, 150.438, 154.003, -3.76, 0.138, 100, B+, Baa1, BB
173, IJQY156273, Eamia, 07-10-2020, 07-10-2015, 5, 3.265, Semi-Annual, 217.961, 216.522, 217.285, -32.987, 3.276, 99.664, B+, Baa1, BB
174, XHWY48336, Jabberstorm, 03-09-2045, 03-09-2015, 30, 4.511, Annual, 326.417, 317.277, 319.562, 8.994, 4.531, 99.559, B+, Baa1, BB-
175, QCYPD363749, Jatri, 03-01-2020, 03-01-2015, 5, 2.471, Semi-Annual, 373.019, 352.54, 356.841, -1.938, 2.477, 99.758, B+, Baa1, BB
176, GRM7764, Flashdog, 11-08-2049, 11-08-2015, 34, 4.044, Annual, 327.823, 310.186, 325.354, -32.984, 4.06, 99.606, B+, Baa1, BB
177, DYLH1872, Realblab, 16-09-2049, 16-09-2015, 34, 1.261, Semi-Annual, 85.157, 79.009, 83.62, 2.476, 1.263, 99.842, B+, Baa1, B-
178, FPGAT85110, Blogspan, 20-08-2024, 20-08-2015, 9, 4.473, Quaterly, 371.381, 355.003, 358.77, -0.134, 4.493, 99.555, B+, Baa1, BB
179, LCRPT74176, Thoughtbeat, 28-12-2040, 28-12-2015, 25, 3.743, Quaterly, 127.841, 100.0, 100.0, 7.884, 3.757, 99.627, B+, Baa1, BB
180, PKSQB352, Feedspan, 16-09-2038, 16-09-2015, 23, 3.475, Quaterly, 230.26, 220.428, 222.099, -16.37, 3.487, 99.656, B+, Baa1, BB
181, LQSC64774, Ooba, 17-02-2020, 17-02-2015, 5, 0.541, Coupon Period, 220.531, 207.52, 212.204, -10.0, 0.541, 100, AA+, Aaa, AAA
182, WNBCD9522, Skyvu, 07-08-2036, 07-08-2015, 21, 3.752, Semi-Annual, 447.914, 435.462, 436.956, 22.613, 3.766, 99.628, AA-, A1, AA+
183, DOQXI634634, Eayo, 12-12-2041, 12-12-2015, 26, 4.545, Quaterly, 352.113, 327.712, 343.084, 5.91, 4.566, 99.54, A-, Baa2, BBB-
184, ATX801782, Fliptune, 18-12-2025, 18-12-2015, 10, 1.035, Semi-Annual, 246.112, 236.169, 241.141, -0.322, 1.036, 99.903, BBB, Baa2, BB
185, BKFPY9536, Fivebridge, 28-05-2028, 28-05-2015, 13, 4.962, Annual, 293.427, 270.246, 271.869, 1.025, 4.987, 99.499, A, Baa1, BBB+
186, TFW2890, Rhyloo, 06-06-2045, 06-06-2015, 30, 3.132, Quaterly, 333.301, 325.635, 329.621, 0.909, 3.142, 99.682, B+, A1, BB
187, QBJ5879, Blogpad, 15-05-2027, 15-05-2015, 12, 3.868, Quaterly, 492.984, 450.489, 485.76, 18.479, 3.883, 99.614, AA+, Aaa, AAA
188, KYTP780426, Jatri, 21-10-2029, 21-10-2015, 14, 0.061, Semi-Annual, 146.192, 144.262, 144.841, 32.324, 0.061, 100, A, Baa1, BBB+
189, LJTG3720, Browseblab, 24-09-2032, 24-09-2015, 17, 0.177, Annual, 74.078, 70.233, 73.04, -6.075, 0.177, 100, B+, A3, A-
190, RAU955, Gabcube, 28-08-2023, 28-08-2015, 8, 0.711, Quaterly, 246.827, 246.087, 246.398, 13.599, 0.712, 99.86, A+, A2, A
191, EQZ354, Katz, 24-05-2021, 24-05-2015, 6, 0.648, Semi-Annual, 199.545, 189.288, 190.109, 0.543, 0.648, 100, B+, Baa1, BB
192, ZDQYF81471, Yodo, 11-07-2030, 11-07-2015, 15, 0.78, Annual, 126.892, 100.0, 120.973, 10.0, 0.781, 99.872, B+, Ba3, BB+
193, ORY2685, Kare, 11-04-2032, 11-04-2015, 17, 0.784, Quaterly, 145.034, 135.636, 141.557, -14.93, 0.785, 99.873, B+, Ba3, BB+
194, OLHX9804, Brainsphere, 16-06-2050, 16-06-2015, 35, 3.371, Semi-Annual, 464.476, 426.435, 434.044, -3.376, 3.382, 99.675, B+, WR, BBR
195, JZPDK5070, Fanoodle, 17-03-2037, 17-03-2015, 22, 3.117, Annual, 21.109, 20.44, 20.667, -0.919, 3.127, 99.68, B+, Caa1, CCC
196, RWPA026971, Meedoo, 04-02-2050, 04-02-2015, 35, 4.329, Semi-Annual, 100.0, 90.811, 94.434, -1.254, 4.348, 99.563, BB, B3, BB
197, VDK079918, Zoonoodle, 15-03-2034, 15-03-2015, 19, 2.303, Annual, 180.639, 170.939, 176.08, -3.333, 2.308, 99.783, BB+, Baa3, BB+
198, FHR21838, Jabbersphere, 21-11-2018, 21-11-2015, 3, 3.712, Semi-Annual, 362.311, 328.109, 362.311, 4.227, 3.726, 99.624, B+, Ba3, BB-
199, CKR15210, Jetpulse, 13-06-2036, 13-06-2015, 21, 2.938, Quaterly, 346.955, 345.186, 345.911, -2.378, 2.947, 99.695, B+, Caa2, B-
200, GJC9618, Trilia, 11-06-2032, 11-06-2015, 17, 3.151, Semi-Annual, 462.048, 441.441, 444.738, 24.359, 3.161, 99.684, BBB-, B1, BB
201, ULSEG45628, Yakitri, 04-09-2036, 04-09-2015, 21, 3.885, Annual, 302.954, 298.379, 299.798, -2.641, 3.9, 99.615, B+, Baa1, BB+
202, QGJ371, Camido, 20-10-2038, 20-10-2015, 23, 2.939, Semi-Annual, 260.267, 246.603, 253.298, -1.417, 2.948, 99.695, B+, Baa1, BB
203, EQJ124, Skilith, 16-12-2030, 16-12-2015, 15, 0.927, Annual, 65.326, 59.688, 60.083, 4.137, 0.928, 99.892, B+, Baa1, BB
204, OGXA8548, Trupe, 22-12-2021, 22-12-2015, 6, 1.475, Quaterly, 161.696, 149.132, 156.922, 0.395, 1.477, 99.865, B+, Baa1, BB+
205, IEXF3457, Avamba, 01-07-2020, 01-07-2015, 5, 1.0, Semi-Annual, 338.428, 329.697, 329.959, -4.069, 1.0, 100, B+, Baa1, BB
206, VYS60165, Devbug, 24-08-2044, 24-08-2015, 29, 0.082, Annual, 258.238, 243.828, 255.068, 1.479, 0.082, 100, B+, Baa1, BB
207, UPJ57038, Blogtag, 01-11-2032, 01-11-2015, 17, 4.944, Semi-Annual, 158.579, 145.782, 157.171, 0.12, 4.968, 99.517, B+, Baa1, BB-
208, FYWSD80001, Meetz, 27-06-2042, 27-06-2015, 27, 1.361, Semi-Annual, 280.089, 273.563, 278.784, 0.806, 1.363, 99.853, B+, Baa1, BB
209, EIMBA120, Talane, 15-12-2031, 15-12-2015, 16, 2.304, Annual, 201.886, 188.259, 198.479, 18.899, 2.309, 99.783, B+, Baa1, BBB+
210, AVZTK34777, Oyondu, 20-04-2024, 20-04-2015, 9, 3.744, Semi-Annual, 182.756, 168.739, 181.354, 0.146, 3.758, 99.627, B+, Baa1, BB
211, ZBOA251, Oyoloo, 20-10-2044, 20-10-2015, 29, 3.036, Semi-Annual, 41.283, 38.587, 39.234, 1.589, 3.045, 99.704, A+, A1, AA-
212, OTF0975, Babbleopia, 12-03-2026, 12-03-2015, 11, 2.673, Quaterly, 457.653, 419.119, 439.156, -16.856, 2.68, 99.739, BBB, Baa3, BB
213, BKXNP86589, Zoomlounge, 16-09-2022, 16-09-2015, 7, 1.681, Annual, 63.588, 59.251, 61.94, -2.674, 1.684, 99.822, BBB-, Ba1, BBB
214, PDQMR71107, Quinu, 29-01-2024, 29-01-2015, 9, 4.408, Semi-Annual, 27.231, 24.647, 26.559, 2.085, 4.427, 99.571, BBB-, Ba1, BBB-
215, LPY189581, Lazzy, 13-10-2036, 13-10-2015, 21, 0.505, Annual, 45.489, 42.355, 44.329, 4.323, 0.505, 100, B+, Aa2, BB
216, IWR373691, Chatterpoint, 13-11-2020, 13-11-2015, 5, 1.132, Quaterly, 184.378, 181.705, 182.293, 27.966, 1.133, 99.912, B+, Baa3, BB
217, ZVP374597, Brightdog, 08-10-2023, 08-10-2015, 8, 4.178, Annual, 176.12, 162.77, 168.778, 7.497, 4.195, 99.595, B+, Baa2, BBB
218, EIOY4906, Photobean, 18-11-2027, 18-11-2015, 12, 1.539, Semi-Annual, 100.0, 100.0, 100.0, 20.932, 1.541, 99.87, A-, Baa1, BBB+
219, WMFP5604, Vinder, 27-05-2033, 27-05-2015, 18, 1.888, Annual, 52.809, 50.475, 52.436, -1.748, 1.892, 99.789, B+, Aa1, AA+
220, SVW611606, Tazz, 15-09-2034, 15-09-2015, 19, 4.196, Quaterly, 29.35, 28.657, 28.671, 0.478, 4.214, 99.573, AA, Aa3, BB
221, NSG701, Camimbo, 14-05-2026, 14-05-2015, 11, 4.734, Semi-Annual, 386.813, 359.272, 366.157, -6.176, 4.756, 99.537, B+, WR, BB
222, MEDBC41245, Myworks, 11-07-2035, 11-07-2015, 20, 1.709, Annual, 450.839, 448.314, 450.309, -0.62, 1.712, 99.825, BB, B3, BB
223, OYXG886513, Realcube, 10-02-2033, 10-02-2015, 18, 2.421, Quaterly, 154.579, 139.446, 145.65, 1.116, 2.427, 99.753, BB, B3, BB
224, WZC194012, Izio, 24-10-2037, 24-10-2015, 22, 2.077, Semi-Annual, 216.711, 195.647, 212.709, -4.03, 2.081, 99.808, B+, Baa1, AA
225, CPIU865055, Skilith, 08-10-2038, 08-10-2015, 23, 0.683, Annual, 408.001, 407.348, 407.949, 20.583, 0.683, 100, B+, Caa1, B
226, NZALT0573, Vimbo, 03-01-2049, 03-01-2015, 34, 0.793, Quaterly, 45.322, 45.154, 45.29, 0.346, 0.794, 99.874, B+, Caa3, CCC
227, UCIR6919, Jaxworks, 04-03-2036, 04-03-2015, 21, 4.232, Semi-Annual, 209.263, 199.574, 202.965, 15.502, 4.25, 99.576, BB+, B1, BBB-
228, FMB203576, Lazzy, 05-09-2018, 05-09-2015, 3, 2.904, Semi-Annual, 366.312, 341.366, 343.861, -0.39, 2.912, 99.725, B+, Ba2, BB+
229, PLNEC24745, Dazzlesphere, 19-07-2045, 19-07-2015, 30, 3.184, Quaterly, 201.441, 188.327, 195.933, -1.304, 3.194, 99.687, BB+, Ba1, BB+
230, UZTKB537815, Roomm, 07-10-2048, 07-10-2015, 33, 2.183, Annual, 259.826, 245.328, 247.068, -13.584, 2.188, 99.771, BB, B3, BB
231, SZJEV566443, Brainlounge, 16-11-2033, 16-11-2015, 18, 3.967, Semi-Annual, 483.795, 474.022, 479.495, -26.092, 3.983, 99.598, B+, Baa1, B+
232, THPO70986, Bubblemix, 12-08-2030, 12-08-2015, 15, 1.44, Annual, 420.68, 406.713, 420.261, -6.903, 1.442, 99.861, B+, Baa1, BB
233, WMJF026, Fadeo, 17-09-2047, 17-09-2015, 32, 1.046, Quaterly, 166.796, 162.876, 164.248, -0.325, 1.047, 99.904, B+, Baa1, BB
234, HYAN6093, Bluejam, 09-02-2041, 09-02-2015, 26, 3.481, Annual, 31.21, 29.877, 30.637, 0.111, 3.493, 99.656, B+, Baa1, BB
235, FVKHC96323, Gabspot, 29-10-2033, 29-10-2015, 18, 2.241, Semi-Annual, 46.349, 45.987, 46.147, 0.936, 2.246, 99.777, B+, Caa3, D
236, WTNXA07832, Bubblebox, 11-02-2043, 11-02-2015, 28, 0.83, Annual, 411.463, 376.283, 377.338, -15.391, 0.831, 99.88, B+, Baa1, BB
237, UISKG9000, Jayo, 23-05-2035, 23-05-2015, 20, 4.634, Quaterly, 386.296, 351.066, 353.884, -1.276, 4.655, 99.549, B+, Baa1, B-
238, VYBI15640, Topiclounge, 02-07-2045, 02-07-2015, 30, 2.234, Annual, 420.393, 395.211, 419.134, -0.99, 2.239, 99.777, BB, B2, BB
239, EKL23486, Eabox, 29-09-2025, 29-09-2015, 10, 3.882, Semi-Annual, 469.584, 426.899, 436.29, -39.449, 3.897, 99.615, B+, Baa1, BB
240, CDOAV5269, Roodel, 15-07-2037, 15-07-2015, 22, 0.272, Annual, 100.0, 126.414, 100.0, -3.585, 0.272, 100, B+, Baa1, BB
241, NCI719, Avaveo, 02-12-2044, 02-12-2015, 29, 3.082, Quaterly, 345.424, 344.319, 345.026, -5.934, 3.091, 99.709, A, A3, BB
242, SVT2259, Thoughtbridge, 10-08-2046, 10-08-2015, 31, 0.152, Semi-Annual, 213.472, 195.007, 207.194, 0.102, 0.152, 100, AA+, Aaa, AAA
243, UMSB3409, Topiczoom, 28-09-2038, 28-09-2015, 23, 3.976, Annual, 100.0, 122.884, 100.0, 4.822, 3.992, 99.599, AA-, A2, A
244, WOHS0130, Eayo, 03-02-2032, 03-02-2015, 17, 2.235, Quaterly, 482.647, 475.6, 479.406, 10.0, 2.24, 99.777, B+, Aa2, BB
245, ZHNUS400, Topicblab, 11-06-2032, 11-06-2015, 17, 3.859, Annual, 384.709, 365.666, 381.662, -10.0, 3.874, 99.613, AA-, A1, AA+
246, PSOK129, Thoughtstorm, 21-01-2032, 21-01-2015, 17, 2.868, Semi-Annual, 352.84, 328.917, 343.271, -135.738, 2.876, 99.722, BBB, Baa3, BB
247, DETK4836, Tagfeed, 18-04-2044, 18-04-2015, 29, 4.315, Annual, 52.727, 52.701, 52.727, 0.916, 4.334, 99.562, BBB-, Ba1, BBB-
248, XHIZ221, Skibox, 05-10-2036, 05-10-2015, 21, 2.024, Quaterly, 418.862, 417.187, 417.538, 39.513, 2.028, 99.803, AA, Aa2, BB
249, LWTUE151038, Innotype, 14-08-2031, 14-08-2015, 16, 3.51, Annual, 374.545, 363.346, 372.081, -25.307, 3.522, 99.659, A+, A3, A-
250, LQMP407, Tagopia, 01-12-2022, 01-12-2015, 7, 3.075, Semi-Annual, 397.354, 379.314, 381.84, -6.828, 3.084, 99.708, A+, A2, BB
251, XSCL85588, Twitterbridge, 19-09-2022, 19-09-2015, 7, 1.989, Annual, 409.802, 381.444, 385.697, 22.527, 1.993, 99.799, BB, B3, BB
252, SFYM89982, Eidel, 19-01-2035, 19-01-2015, 20, 1.987, Semi-Annual, 303.798, 276.912, 281.214, 3.152, 1.991, 99.799, B+, Ba2, BB
253, RVK39750, Mita, 21-05-2035, 21-05-2015, 20, 3.305, Annual, 412.119, 409.894, 410.561, -149.634, 3.316, 99.668, B+, Caa1, CCC+
254, ANIX6885, Ooba, 22-11-2035, 22-11-2015, 20, 0.121, Semi-Annual, 77.227, 77.08, 77.215, 0.427, 0.121, 100, BB, B3, BB
255, BNJ9681, Centizu, 02-04-2040, 02-04-2015, 25, 3.806, Quaterly, 146.024, 135.35, 145.063, 0.155, 3.82, 99.634, B+, Caa2, CCC
256, GMI036387, Vitz, 16-06-2022, 16-06-2015, 7, 4.643, Quaterly, 403.211, 392.687, 399.212, -8.323, 4.665, 99.528, B-, Caa1, BB
257, GNHD640, Myworks, 02-07-2040, 02-07-2015, 25, 2.524, Semi-Annual, 329.052, 312.764, 322.211, -14.659, 2.53, 99.763, WD, WR, BB
258, RYTI8421, Kayveo, 01-01-2029, 01-01-2015, 14, 1.726, Quaterly, 370.821, 348.016, 360.787, 24.168, 1.729, 99.826, B-, Caa1, BB
259, HKTU383562, Gabtune, 06-07-2025, 06-07-2015, 10, 4.81, Semi-Annual, 321.899, 294.023, 317.996, 6.195, 4.833, 99.524, BB, B3, BB
260, SPE39509, Mycat, 30-03-2034, 30-03-2015, 19, 4.837, Annual, 40.758, 39.829, 39.95, 4.48, 4.86, 99.527, B-, Caa1, BB
261, EPKJB313113, Oyonder, 25-10-2023, 25-10-2015, 8, 1.251, Annual, 55.274, 51.128, 53.284, -2.584, 1.253, 99.84, B+, Baa1, BB
262, FWPT82651, Meejo, 30-03-2023, 30-03-2015, 8, 4.228, Semi-Annual, 420.106, 391.581, 413.545, 1.911, 4.246, 99.576, B+, Baa1, BB-
263, LGVDK105, Photospace, 31-01-2021, 31-01-2015, 6, 1.941, Annual, 87.155, 84.793, 85.289, -0.721, 1.945, 99.794, B+, Baa1, BB
264, PHK76249, Devpoint, 19-08-2045, 19-08-2015, 30, 1.468, Semi-Annual, 86.136, 84.56, 85.364, -0.612, 1.47, 99.864, B+, Baa1, BB
265, CWTR415620, Kazu, 11-06-2045, 11-06-2015, 30, 0.442, Annual, 305.484, 290.21, 291.279, 33.705, 0.442, 100, BB+, Ba2, BB+
266, IFAGL693780, Omba, 19-02-2046, 19-02-2015, 31, 2.851, Semi-Annual, 53.178, 48.945, 52.204, -2.257, 2.859, 99.72, B+, Baa1, BB
267, NDHQ271116, Aibox, 13-08-2030, 13-08-2015, 15, 4.518, Annual, 145.358, 133.032, 134.018, 0.184, 4.538, 99.559, B+, Baa1, BB
268, EWJ16048, Youspan, 19-07-2041, 19-07-2015, 26, 3.575, Semi-Annual, 166.37, 165.754, 100.0, 28.974, 3.588, 99.638, B+, Baa1, B+
269, PURID048015, Buzzbean, 29-07-2031, 29-07-2015, 16, 1.735, Annual, 192.554, 173.953, 185.3, 2.049, 1.738, 99.827, B+, Baa1, B-
270, UKGX94498, InnoZ, 26-03-2028, 26-03-2015, 13, 1.74, Semi-Annual, 464.592, 418.551, 437.428, 52.066, 1.743, 99.828, B+, Baa1, BB
271, RZCJQ59201, Wordpedia, 09-09-2029, 09-09-2015, 14, 4.017, Annual, 476.249, 449.103, 467.562, -25.25, 4.033, 99.603, BBB, Baa3, BB
272, IRD588003, Skinte, 24-04-2040, 24-04-2015, 25, 4.788, Semi-Annual, 389.128, 385.743, 388.451, 100.0, 4.811, 99.522, AA+, Aaa, AAA
273, NSJRF215331, Gabtune, 29-06-2028, 29-06-2015, 13, 2.467, Quaterly, 100.0, 117.842, 100.0, 1.567, 2.473, 99.757, BBB-, Baa3, BB
274, VHQAG19085, Photofeed, 14-01-2024, 14-01-2015, 9, 1.629, Semi-Annual, 444.614, 437.545, 440.09, 23.23, 1.632, 99.816, AA+, Aaa, AAA
275, BZS877, Skiptube, 09-04-2049, 09-04-2015, 34, 1.602, Quaterly, 313.444, 284.889, 306.02, 35.572, 1.605, 99.813, BBB+, Baa1, BBB+
276, NKQ024, Podcat, 20-01-2022, 20-01-2015, 7, 2.661, Annual, 352.551, 335.911, 341.236, 6.955, 2.668, 99.738, BBB+, Baa3, BB
277, JYM04979, Devpoint, 27-12-2025, 27-12-2015, 10, 1.319, Quaterly, 407.838, 400.13, 400.438, 0.156, 1.321, 99.849, A-, Baa3, BBB
278, SQPZK52424, Centidel, 17-09-2028, 17-09-2015, 13, 0.129, Semi-Annual, 107.621, 100.0, 100.0, -21.12, 0.129, 100, A-, Baa2, A-
279, FJUC2354, Dabshots, 03-09-2029, 03-09-2015, 14, 4.889, Quaterly, 25.189, 23.537, 24.363, -0.328, 4.913, 99.512, BBB, Baa2, BB
280, HUXY23732, Npath, 19-04-2030, 19-04-2015, 15, 1.189, Semi-Annual, 491.925, 478.151, 486.14, 100.0, 1.19, 99.916, WD, Baa1, BBB+
281, MSEA955, Yabox, 07-08-2021, 07-08-2015, 6, 4.562, Semi-Annual, 27.198, 25.604, 25.843, -1.549, 4.583, 99.542, BBB+, Baa1, BBB+
282, HMC734, Devpulse, 29-03-2029, 29-03-2015, 14, 1.498, Quaterly, 182.567, 172.179, 174.776, 3.273, 1.5, 99.867, BBB+, Baa1, BBB+
283, NZAIU264, Trunyx, 03-09-2034, 03-09-2015, 19, 1.429, Annual, 307.234, 289.998, 298.788, 44.661, 1.431, 99.86, B-, Caa3, D
284, HTG1430, Yadel, 05-05-2028, 05-05-2015, 13, 0.848, Semi-Annual, 92.094, 88.106, 88.306, 0.454, 0.849, 99.882, BBB+, Baa1, BBB+
285, JPK082, Browsebug, 12-07-2033, 12-07-2015, 18, 0.356, Semi-Annual, 398.593, 375.714, 377.544, 14.877, 0.356, 100, B+, Caa2, BB
286, BAEFO44697, LiveZ, 19-06-2033, 19-06-2015, 18, 1.267, Annual, 52.184, 52.022, 52.032, 2.721, 1.269, 99.842, BB, B3, BB
287, FLJ18977, Realmix, 21-01-2027, 21-01-2015, 12, 4.603, Annual, 496.621, 493.294, 496.055, -37.868, 4.624, 99.546, BB, B3, BB
288, DKCOV4141, Myworks, 15-08-2023, 15-08-2015, 8, 4.553, Annual, 100.0, 92.864, 99.777, -1.668, 4.574, 99.541, BB+, Ba1, BBB-
289, ZDJWR8707, Meevee, 09-08-2045, 09-08-2015, 30, 2.575, Annual, 283.067, 281.425, 282.492, 14.389, 2.582, 99.729, BB, B3, BB
290, MGF288680, Aimbo, 31-10-2044, 31-10-2015, 29, 0.252, Annual, 161.143, 146.141, 149.141, 18.817, 0.252, 100, B+, B1, B+
291, FBLR83963, Agivu, 13-05-2020, 13-05-2015, 5, 1.0, Quaterly, 258.09, 254.735, 255.372, 1.724, 1.0, 100, B+, Baa1, CCC-
292, EPUYD902821, Yata, 08-06-2044, 08-06-2015, 29, 2.839, Semi-Annual, 481.005, 470.182, 477.434, -10.0, 2.847, 99.719, B+, Baa1, BB
293, FWX6552, Buzzster, 31-10-2047, 31-10-2015, 32, 3.402, Annual, 224.784, 208.285, 211.09, 4.476, 3.414, 99.649, BB+, Baa3, BBB
294, LWYJB12762, Twimbo, 03-10-2021, 03-10-2015, 6, 3.634, Quaterly, 54.425, 50.512, 54.073, -0.857, 3.647, 99.644, B+, Baa1, BB+
295, ZMTSL038261, Twimbo, 28-01-2044, 28-01-2015, 29, 4.097, Semi-Annual, 211.634, 196.989, 200.797, 50.648, 4.114, 99.587, B+, Baa1, BB
296, INR270, Gevee, 19-03-2048, 19-03-2015, 33, 2.772, Annual, 301.853, 279.938, 290.019, -36.199, 2.78, 99.712, B+, Baa1, BB
297, CYZ893246, Meevee, 27-07-2021, 27-07-2015, 6, 0.014, Quaterly, 197.081, 193.218, 196.811, -0.208, 0.014, 100, B+, Baa1, BB+
298, GAR90830, Eimbee, 15-12-2024, 15-12-2015, 9, 2.602, Annual, 465.734, 445.381, 459.425, 17.502, 2.609, 99.732, B+, Baa1, B+
299, KOCQG972, Skibox, 10-02-2025, 10-02-2015, 10, 1.319, Annual, 178.964, 167.26, 178.847, 7.328, 1.321, 99.849, A, A2, A
300, BTMPV0490, Innojam, 19-08-2021, 19-08-2015, 6, 3.102, Semi-Annual, 214.524, 201.009, 211.551, -2.49, 3.112, 99.679, B+, Baa1, BB
301, OJE9993, Twitterbeat, 21-03-2027, 21-03-2015, 12, 4.358, Annual, 180.305, 180.251, 180.302, 12.002, 4.377, 99.566, BBB, Baa1, A
302, GMUJB472, Zoomzone, 27-02-2033, 27-02-2015, 18, 2.539, Quaterly, 312.093, 283.256, 292.484, 19.352, 2.545, 99.764, BBB+, Baa3, BB
303, IDHXO241578, Mydo, 14-08-2048, 14-08-2015, 33, 0.498, Annual, 157.777, 144.555, 156.984, -1.212, 0.498, 100, BBB-, Ba1, BBB-
304, KBLZ081, Youfeed, 13-03-2050, 13-03-2015, 35, 2.513, Quaterly, 135.985, 100.0, 132.019, -16.163, 2.519, 99.762, BBB, Baa2, BB
305, KOI571296, Topicblab, 01-08-2026, 01-08-2015, 11, 1.578, Semi-Annual, 347.183, 324.304, 343.751, 37.74, 1.58, 99.873, A, A3, BBB+
306, JCK8330, Zoombeat, 20-10-2049, 20-10-2015, 34, 1.847, Annual, 176.052, 161.334, 168.399, 19.119, 1.85, 99.838, AA+, Aaa, AAA
307, EGY93023, Devify, 12-03-2021, 12-03-2015, 6, 1.922, Semi-Annual, 459.861, 425.877, 454.084, 1.455, 1.926, 99.792, AA-, Aa2, BB
308, WNH384430, Dynava, 03-06-2032, 03-06-2015, 17, 0.491, Annual, 272.286, 258.29, 266.408, -13.702, 0.491, 100, BBB-, Baa3, BB
309, OFENC99329, Teklist, 02-04-2037, 02-04-2015, 22, 2.447, Quaterly, 293.63, 275.777, 288.274, 12.528, 2.453, 99.755, B+, Baa1, BB
310, EXQ730683, Oodoo, 03-08-2026, 03-08-2015, 11, 0.478, Semi-Annual, 62.189, 57.17, 59.529, 4.757, 0.478, 100, B+, A3, A-
311, PAUBK948, Dynazzy, 19-12-2025, 19-12-2015, 10, 1.34, Quaterly, 85.986, 83.406, 83.432, -8.037, 1.342, 99.851, BBB, Baa1, A
312, WKPM0495, Oyonder, 28-11-2024, 28-11-2015, 9, 2.164, Semi-Annual, 179.261, 175.066, 175.695, -1.401, 2.169, 99.769, BBB, Baa1, A
313, EXIUZ7428, Talane, 24-11-2047, 24-11-2015, 32, 3.451, Annual, 18.638, 18.191, 18.553, 1.476, 3.463, 99.653, BBB, Baa1, A
314, AND4495, Yozio, 15-02-2033, 15-02-2015, 18, 4.344, Semi-Annual, 457.226, 430.158, 432.594, -0.162, 4.363, 99.565, BBB+, Baa2, A-
315, QPDI144, Buzzdog, 17-10-2043, 17-10-2015, 28, 0.781, Quaterly, 450.005, 442.76, 447.759, 3.083, 0.782, 99.872, BBB+, Baa2, A-
316, ILX39770, Flipbug, 22-04-2040, 22-04-2015, 25, 0.583, Semi-Annual, 173.17, 171.196, 171.295, -3.54, 0.583, 100, B, Caa1, CCC+
317, FLA97653, Feedbug, 04-07-2021, 04-07-2015, 6, 4.68, Annual, 240.802, 229.075, 239.16, 8.65, 4.702, 99.532, BB, B3, BB
318, UWD61982, Thoughtbridge, 30-03-2021, 30-03-2015, 6, 2.458, Semi-Annual, 23.429, 21.794, 22.546, -0.127, 2.464, 99.756, CCC+, Caa1, B-
319, CHLD28260, Twimm, 21-01-2039, 21-01-2015, 24, 2.604, Annual, 26.264, 24.024, 24.472, 0.228, 2.611, 99.732, BB+, Ba1, BBB-
320, FUONS11988, Yakijo, 11-12-2048, 11-12-2015, 33, 3.486, Quaterly, 370.134, 344.447, 352.924, -14.033, 3.498, 99.657, B+, Caa1, CCC+
321, VIS750, Skinder, 10-01-2022, 10-01-2015, 7, 2.967, Semi-Annual, 166.556, 164.741, 165.975, 27.831, 2.976, 99.698, B-, Baa1, D
322, JSPD43449, Tanoodle, 13-11-2030, 13-11-2015, 15, 2.81, Annual, 427.476, 392.508, 413.489, -0.339, 2.818, 99.716, B+, Baa1, BB-
323, DKCBE106, Digitube, 05-01-2032, 05-01-2015, 17, 4.847, Quaterly, 177.743, 174.97, 175.164, 27.795, 4.87, 99.528, B+, Baa1, B-
